sb_code,sb_name,sb_credits,sb_type,sb_campus_code,sb_campus_name,sb_faculty_code,sb_faculty_name,sb_is_active
2021279,Guitarra V,6,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021280,Guitarra VI,7,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2021281,Guitarra VII,7,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2021282,Guitarra VIII,7,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2016073,Herencias - Una mirada a la historia de las artes,3,O,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2018110,Historia de la música I,2,B,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2018111,Historia de la música II,2,B,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2018112,Historia de la música III,2,B,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2018113,Historia de la música IV,2,B,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
1000044-B,Inglés I- Semestral,3,E,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
1000045-B,Inglés II - Semestral,3,E,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
1000049-B,Inglés II - Virtual,3,E,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
1000046-B,Inglés III - Semestral,3,E,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
1000050-B,Inglés III- Virtual,3,E,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
1000052-B,Inglés Intensivo I y II,6,E,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
1000053-B,Inglés Intensivo III y IV,6,E,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
1000047-B,Inglés IV- Semestral,3,E,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
1000051-B,Inglés IV- Virtual,3,E,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2018116,Investigación en educación,3,O,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2018115,Investigación en educación musical,3,O,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
1000002-B,Lecto-Escritura,4,E,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2018162,Música de cámara I,2,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2018163,Música de cámara II,2,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2018164,Música de cámara III,2,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2018165,Música de cámara IV,2,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
2018166,Música de cámara V,2,C,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2021451,Música de Cámara VI,2,T,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2002432,Musica tradicional colombiana,2,O,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,0
2018121,Música tradicional colombiana,2,O,2512,MÚSICA INSTRUMENTAL,2049,FACULTAD DE ARTES,1
